transactionHash,amount0,amount1,sqrtPriceX96,liquidity,tick,timestamp
8fa16a94449fdb22582ef08a9411d5b345951aec6a5d252a92527b0707168e9e,-8322679956684639,27279474,4534792409886902600293803,3295675097753821315,-195376,2025-01-12 16:16:35
fc900d81da642e1419dae2914620f595fde5efa32dab19c1daf3a9a31604871f,9664954446916490693,-31642108018,4534031732331622196198656,3295675097753821315,-195380,2025-01-12 16:17:23
867b6dc81d2f2e474d370ec64d2118ed4f2767fbb0b9acb30b4b1a532814c891,14562411453404469248,-47655857537,4532886083590825592375749,3295675097753821316,-195385,2025-01-12 16:18:47
b4b4ba386e78162728248533ed1a9b22a026ff697082a58ebf96ea014350811b,14348000730596857564,-46930645049,4531757868987560258174976,3295675097753821316,-195390,2025-01-12 16:19:23
0c7f0a59ec0c09f6375489632714dba27ddb545d7b5b210b4bc4b514141982bf,-146365909958761126,479106949,4531769380979085059998935,3295675097753821316,-195390,2025-01-12 16:20:59
a843ddead5efedc93ed745b877a4ddd9b3ab6268a38f078fbde7881e3ac814ad,295959337650182162,-967807647,4531746114844133553931535,3295675097753821316,-195390,2025-01-12 16:21:23
43791be8d7bbc8d6a3fe2da56dc36a2101f60368a167267b7d70a481441a7ada,15998000000000000000,-52299791570,4530488825741556174840192,3295675097753821316,-195395,2025-01-12 16:22:11
aa26a383871544e8e0d435c1ef6eb1dc820bbde1beb43f38c94cc0c9e1c52407,-19819916406493804422,64863347176,4532047363569766774115634,3295675097753821316,-195389,2025-01-12 16:22:23
db91aab5a82eaaa730394961f2ce91df8fdb5e3d31712fa4d65f0b0fcbde59fb,-7552202204617397,24724106,4532047957641066990913229,3295675097753821316,-195389,2025-01-12 16:22:23
bc1f06a3b7f48107205c525526142b82e71d79528114ebbb59381dbbfcb00f35,-10115924664060750038,33122939740,4532843836312366220360229,3295675097753821316,-195385,2025-01-12 16:23:35
c9a065e9c7c17b1f2f257d127c988e4a79c7038bb8ec79e17cdc5c7aa401608f,-11965523956624264486,39194171635,4533785594667402702297271,3295675097753821316,-195381,2025-01-12 16:23:47
cda59d81ce8c85c30f21983f4d256324757e7a3dc6071ba971344e81ab810e81,-128155329918528241,419872693,4533795683377013735589267,3295675097753821316,-195381,2025-01-12 16:24:23
c6a24147eb0c755059c87a19da93985ac916458932819b4596164cb5cbcc0069,-181190471443087386,593633833,4533809947222852609635430,3295675097753821316,-195381,2025-01-12 16:24:47
96d2c063b0b98acbe16f013ff62c7a4ab97a8f9d1ebae520a14d1141ad46999e,-7633192219461423358,25012000000,4534410936068707235439610,3295675097753821315,-195378,2025-01-12 16:25:47
be1ccd09d1bf63efb31ce928ba305611b9833d7fbba4f0635971c188d5f2cc88,-198463263664865809,650401317,4534426563924802696036570,3295675097753821315,-195378,2025-01-12 16:25:47
2ceabd541fc62a45858d8fe62c09601eb5983e383daeedb67df68b75f4f22ca2,-37321082623735528,122308685,4534429502760363400595958,3295675097753821315,-195378,2025-01-12 16:26:47
669807c5a886c6e88359b440bdaf8a911cd91da999fb66503a57ed1c0ef1c4f4,-415264518368311475,1360915936,4534462202876215871106867,3295675097753821315,-195378,2025-01-12 16:27:11
ce2655eee45e66c0f151257e69347279e25f9c405913c8dbba371dae17cad4d4,-25343615101749156,83057406,4534464198581253270846031,3295675097753821315,-195378,2025-01-12 16:27:23
e74e652829f985821b0a6efcc799bbda9eb4e4d0ac617ea9b1b0ee3164a9622e,9999999987351552,-32739761,4534463411516067017952621,3295675097753821315,-195378,2025-01-12 16:27:23
b13d2ab5c384599bbdda97302a6cd91542702f68da604fa61d5f4642d00d87bf,-5925358988880503268,19420893047,4534930057130094635418121,3295675097753821315,-195376,2025-01-12 16:28:23
209308c4ee8bb11886ad5001582618ff264fc552de4f0b4fdd033b2b01cc0909,-1476552466616845246,4840154687,4535046356465567346951660,3295675097753821315,-195375,2025-01-12 16:29:11
559d77f399779ceb82556145fe10b46f7503f94aa78c887fdb544f67af8b4f85,1000000000000000,-3274817,4535046277738825529510940,3295675097753821315,-195375,2025-01-12 16:29:23
d98f1c701e77a87cd602b561ba00beb5b46ce98f0814c9eedb27eb450690d61f,-8383749434681067214,27486726011,4535706729351726198139364,3295675097753821315,-195372,2025-01-12 16:30:59
c4eb295a2ee92e7e96c5c060f66e32c5fa1006f4f4dd5cd794ca7e5f893a5371,-2733407707899593051,8963404641,4535922102221147823006112,3295675097753821315,-195371,2025-01-12 16:31:47
1cab3dc2c2cf7da1ca6f550ef74d66a7b73e48fdce474635cbcad4025d5612ea,-5560020875781632578,18235076122,4536360255001916881339753,3295675097753821315,-195370,2025-01-12 16:32:47
8561872f969474e1f84e5d85b695eaf58b7739adb46a10c16348de9721ba46f0,-775742748986370630,2544466197,4536421393487547090436520,3295675097753821315,-195369,2025-01-12 16:33:23
b005d519ce29288d1c208c43200fd1d29796f103935e5da0294f4f5e95ba310d,-6616044359948472162,21703668373,4536942889673635384971667,3295675097753821315,-195367,2025-01-12 16:34:59
8bf1ac75e91a8b559402e4a81ff435c369fb1b6bb07ad8d42f784aa2ca051a86,-183616795831284195,602418707,4536957364602592281040286,3295675097753821315,-195367,2025-01-12 16:35:23
7087c7d19ebdbeecced7c91d3555c6eadba4f903ca0d67e200c716f83280424b,-5356853390173031626,17576711167,4537379698176814022813821,3295675097753821315,-195365,2025-01-12 16:35:35
ae7c29ce5fea2aa77516ed3dfdb16d1095778552fb369bebe38224cd137b36c5,-13890537208939596303,45592369709,4538475192565604309082142,3295675097753821315,-195360,2025-01-12 16:35:59
5f1722ac3051a401dc09e14881e2c860e12f72074176401234d264d767ccefa5,-7422448768031004797,24371440971,4539060790046068570666671,3295675097753821315,-195358,2025-01-12 16:36:35
427b03e02bf5021055ac084a2ca267072129476cc02e725efea150536df629a4,458377688213886996,-1503750000,4539024639835308406586624,3295675097753821315,-195358,2025-01-12 16:36:35
54cb99f5095976fdce127716d5003696755759a0205b95455857bd7fd7892dc1,-6187309256148842322,20320371914,4539512898145899100713817,3295675097753821315,-195356,2025-01-12 16:36:47
eb4fad5537e2d306f7b29e001906c08479ee496ddeaa8640dd617ce495392e41,-199360210397485798,654811852,4539528631978425883242028,3295675097753821315,-195356,2025-01-12 16:37:11
4a30a4ac658b56512af34e3eaf8b181d91cf1820bbaf6a2faf366f4f08ef04d3,310000000000000000,-1017195674,4539504178553314408132998,3295675097753821315,-195356,2025-01-12 16:37:23
d75f1f5c4fb659882cbccded8af450ce569b82e1a96d8059eba5f6b11b524a9d,4171419974627440525,-13687373017,4539459392937971812325035,24213699098238754947,-195356,2025-01-12 16:37:35
fe0fec78580a9f17d5325f6141c37de98e13a5a2c359132f0a9cfdc4cfdeb957,-1114605501114622069,3660967749,4539547358745672640496481,3295675097753821315,-195355,2025-01-12 16:37:35
8ce3b8f26043b75f26c085356a77236f5efa1352950073c7615ba18e0a32c24d,-181999665406200336,597798885,4539561722669454482475816,3295675097753821315,-195355,2025-01-12 16:37:59
53e8a8fcb0482bed1dfb452939848b1b108cad9b6724cb0503832660b78121e1,3659334275611909600,-12006763334,4539273079593755073944305,3295675097753821315,-195357,2025-01-12 16:39:23
cf1939811aca090a2705450bbe29ac609a97eeef0b8b12ead03c9716f64150fe,1381280043999634512,-4531766929,4539164135733660508313236,3295675097753821315,-195357,2025-01-12 16:39:35
5c619a23466558925fdb3c1f74e44cb855f21f0ae302066748a0ab6e045818e1,20979520514593880103,-68803840418,4537510088629923179502728,3295675097753821315,-195364,2025-01-12 16:39:47
ed4917d5ad3656b7bfdbc0ac06ed72fc491633da6ae93d5c77b06747ec274f01,1000000000000000000,-3278319636,4537431277693400736399256,3295675097753821315,-195365,2025-01-12 16:39:59
66d16a0d9aac3754c66da3e1b0858284c6e611562e4e01b32efeb8d7a90792f1,-39867116334990822,130825764,4537434421177522247974933,3295675097753821315,-195365,2025-01-12 16:40:47
a83ed9a135a1d8c0bc093d4a8a315f802e6e88a191b3f1b44a18f8194601bbc1,100000000000000000,-327826154,4537426540223523411825710,3295675097753821315,-195365,2025-01-12 16:40:47
0811f06f084ebc9c82882625b295c28837b2dc47a1464ca6221180c7b9714569,-1980711212582643446,6500000000,4537582722356029543820418,3295675097753821315,-195364,2025-01-12 16:40:47
2204412262492c08f5347f859c106d80c8935452e78dc02f4922964ceba768f7,611231397290686220,-2003889575,4537534548769676562543518,3295675097753821315,-195364,2025-01-12 16:41:47
eae9a122d3ab0cac64ce7223d78d31bda732c4917171631513ccd05a38eddd6f,134436371900137472,-440736775,4537523953439787980270530,3295675097753821315,-195364,2025-01-12 16:42:11
b0c83b281c4a1bee2c0020d7f6b28949c385bd7407a4687093469ffa1d0dee15,-368115217857590785,1208043145,4537552980325092397680436,3295675097753821315,-195364,2025-01-12 16:42:11
5ca6db3eeb451969b3ad0b110bfa7f99901ffd7eb839a47252d54bc84f00e4b5,-65964562011407036,216477435,4537558181849306799842249,3295675097753821315,-195364,2025-01-12 16:42:59
0de2a3502c0df9e4b364e89ef066b954894653f060f2b6e5c843d303ab9d3898,740000000000000000,-2426018912,4537499860256635181968769,3295675097753821315,-195364,2025-01-12 16:43:35
138b7077fd4326d94a87bd002a0432c95f2162329c5933bc38faf7757c4ba997,-6313195891261931943,20719925865,4537997719057705045664236,3295675097753821315,-195362,2025-01-12 16:43:59
a32c46f1ee6d9a4a091540b46fd357ae2640488da3d47978da314bb76f00c816,441758228446516339,-1448550006,4537962895857011100664642,3295675097753821315,-195362,2025-01-12 16:44:11
b93f787943e1c243706a5d522986c83b0a1adb928c147fa4cb6b8b3dc6374274,4359258697871613848,-14293061742,4537619290075208297427878,3295675097753821315,-195364,2025-01-12 16:44:35
7f28f83206afcfae3344e88a9c8261fca1f1c8b3538fe19ee9f07a2a6979eb70,-5142731258790261626,16879002997,4538024859103296064895239,3295675097753821315,-195362,2025-01-12 16:44:59
23663caf75796d138dd88032c53bc3cd13548ca83c9c7f8c50e665513cdd32e3,-26016066797571560,85395230,4538026910981614078959390,3295675097753821315,-195362,2025-01-12 16:45:35
e71f14a034edae472ef03e7c5791b834a042ac35ce6dbce74a59caae67337e53,9004917068278503,-29528229,4538026201121772620625737,3295675097753821315,-195362,2025-01-12 16:47:11
7ccf2bf780dcb05ca82646309dedd5099a639a74ebb984f30c00cd383bb368cb,2538106075306588265,-8322393576,4537826130443926817058395,3295675097753821315,-195363,2025-01-12 16:48:47
f07281239211768c5b842cc0444bb1e9513a599b9fe02ea132d3c4663cc3a5ae,7032960000000000000,-23057086532,4537271837152054026499198,3295675097753821315,-195365,2025-01-12 16:48:59
c4438e153b9c91bdc7c2bc116015c1eee78cd05abb7d289f2183fe36fd9e5d7b,412371832748986118,-1351758510,4537239340822847400134700,3295675097753821315,-195366,2025-01-12 16:48:59
b4029dd2329527e58dce726f4502d70d27b31c2dacfe6b182ddabf75a4eaf93d,-356917621069415009,1171148848,4537267481211227820738893,3295675097753821315,-195366,2025-01-12 16:49:11
8df862a0a0837b270ec4d2637421fcb8ef6eb35cb39774fd112dde45c8f97371,-276461765537895993,907160148,4537289278473734670170896,3295675097753821315,-195365,2025-01-12 16:49:11
