transactionHashHash,starttime,endtime,token0,token1,volume,price
a19099eb58e71b5ad8f153258ed84cbd4dade7a36b832bac765166d84d68762a,2025-01-12 16:50:00,2025-01-12 16:55:00,WETH,USDT,401.934878,3275.894595021195
081bdfd50c083999cd4d1c7956e13ef7daa6936a5a83b62fa08cc05a8e2545e4,2025-01-12 16:55:00,2025-01-12 17:00:00,WETH,USDT,86728.27729,3275.913668428808
0ab8c14c8fcfb0c19e711d44c913f1aa8097302d74f3e0d4f1740831ca392c72,2025-01-12 17:00:00,2025-01-12 17:05:00,WETH,USDT,14369.520212,3279.45690568199
d455a02e201576ed3b1f0056118249a45c528d56de545610deb4c1d8f9262451,2025-01-12 17:05:00,2025-01-12 17:10:00,WETH,USDT,2667.527215,3282.9181120226685
bd2f4ca2c0d108961611be12b8002ac970b74b1059c0ab74ffa26e970889a952,2025-01-12 17:10:00,2025-01-12 17:15:00,WETH,USDT,40773.647971,3282.123414121139
fb9699d7da4b438aac7eff917fd3e5dc57fb9bbdc90e8acb46dbfa20b1d08558,2025-01-12 17:15:00,2025-01-12 17:20:00,WETH,USDT,6732.760714,3285.107139571429
aa1d7b900d79710c43b2c0cb7c86551cc1b35942c1aa59bc3b2d5af95ef393cd,2025-01-12 17:20:00,2025-01-12 17:25:00,WETH,USDT,387.895553,3281.091255298754
83a019ffa73a20b066ce4b514e865c799fda9a66288858c6c2afdd13cfda6af6,2025-01-12 17:25:00,2025-01-12 17:30:00,WETH,USDT,1191.759446,3281.153951189145
3324ec41ad2181c1b63369ca7eecf6535d24aa74d2ae4ef77b6782e8905cba68,2025-01-12 17:30:00,2025-01-12 17:35:00,WETH,USDT,4914.470531,3283.0795356986987
429e2e38ecc033183e331f63c00c451bc65efd1e8b792895002946c8ed113e53,2025-01-12 17:35:00,2025-01-12 17:40:00,WETH,USDT,5894.272869,3281.591818392373
98b4d5cadbfeea328656d4c2a4c38d9efc1ddc84b606a483e7922d421031793b,2025-01-12 17:40:00,2025-01-12 17:45:00,WETH,USDT,2238.008779,3285.980778569238
cc9db22236ef35801fcafd27db8bd8223c1ca6ee233f71df5b7d2c35d4188eee,2025-01-12 17:45:00,2025-01-12 17:50:00,WETH,USDT,3103.448345,3288.078359171952
01a63db797a91777f04e6a6a887a6f865049116412875658257f7f259932d89c,2025-01-12 17:50:00,2025-01-12 17:55:00,WETH,USDT,1335.172337,3281.452843947639
ca93eef0e8124c5899040da6f627f2e562ff8ca5f74d5730c7dc43835a225495,2025-01-12 17:55:00,2025-01-12 18:00:00,WETH,USDT,2326.016013,3284.794049379368
0518fc8092bd04bb1712e496d1a8066eae5be78b5635dd7c0f9c0183638cc646,2025-01-12 16:00:00,2025-01-12 16:05:00,WETH,USDT,299.398514,3293.4955680682497
9c2d2f522ad251c2c46e1168f2beca4b1cb5455355209f0c18560e2a016afc57,2025-01-12 16:05:00,2025-01-12 16:10:00,WETH,USDT,35.972939,3283.0628620777743
adb829fa33e227787bc9b3ad582bae34d3edc5b4a10334735dea7dfe68f6db9e,2025-01-12 16:10:00,2025-01-12 16:15:00,WETH,USDT,106.869691,3280.223787599755
d98dd6b6460081070c898cf60549146ec88b035b456809fb5d86daf472f33f29,2025-01-12 16:15:00,2025-01-12 16:20:00,WETH,USDT,36.676161,3285.3860043404657
b3fde586a2c5b2d794e007eab612883e6e61bae0466bef0078bd2d900187a780,2025-01-12 16:20:00,2025-01-12 16:25:00,WETH,USDT,323.315686,3271.117854071412
6e1d96b6c694b2aed5c6912c07c81dbaedda623adaedd792025599b523abde81,2025-01-12 16:25:00,2025-01-12 16:30:00,WETH,USDT,103.854541,3282.5641620735214
31caf2d7b7e67ff270eba96fa9deac6c12c1e4965b134f41660ce3e5f2cee32c,2025-01-12 16:35:00,2025-01-12 16:40:00,WETH,USDT,191.721643,3282.241233504694
0061f5fa31b80ac0e0384738ed4f09d51e7306ddefecc9668b3282a5302fb38f,2025-01-12 16:50:00,2025-01-12 16:55:00,WETH,USDT,50.0,3290.671899203613
9a5dea92c7853de9f57e94bc65de4dd3dbc8e0c1fd996d5f489c42818e2c78c8,2025-01-12 17:00:00,2025-01-12 17:05:00,WETH,USDT,84.38902,3273.556771015168
f409bc16b705d702f934cf66fdf8bfaf26c897583d9e6576bb66c38cc79d5b82,2025-01-12 17:10:00,2025-01-12 17:15:00,WETH,USDT,33.747365,3280.1849327224672
6c8f2d18c0a0980a0d992fd14c9670d77cae13f4d76469d2cf14fbafe253c808,2025-01-12 17:25:00,2025-01-12 17:30:00,WETH,USDT,43.336511,3288.679150645692
6e76ef0fd85878d25f3e8e6e358a80d3514790c8fe3f364ff765989a5dca94dc,2025-01-12 17:30:00,2025-01-12 17:35:00,WETH,USDT,30.534867,3290.15022754593
ddfb545c256edbf530061d342959237e7bdb2eaf399a04fdbfc088fdf3d6ee47,2025-01-12 17:50:00,2025-01-12 17:55:00,WETH,USDT,99.9,3292.74589881741
4007bc686d2d3d6eb0d422d22928093c150d67237b8af87f5428fec6219efdf2,2025-01-12 17:55:00,2025-01-12 18:00:00,WETH,USDT,16.793038,3277.952361681389
